datasetName,uid,filesize,publish,export_filename,error_count,Created,Updated,Deleted,time_started,time_finished,current_row_count,threadID
,,,,,,,,,,,,
NYCC_BOATSFORHIRE,ibtm-q4dj,15590,TRUE,C:/sterling/NYCC_BOATSFORHIRE_20210127_R.csv,0,70,0,0,2021-01-27T16:00:43.089204,2021-01-27T11:00:43.089204,70,2828
DOS_REAPPRAISERS,3nr4-s9yt,716502,TRUE,C:/sterling/DOS_REAPPRAISERS_20210127_R.TSV,0,4133,0,0,2021-01-27T18:00:30.637209,2021-01-27T18:00:35.573287,4133,5752
DOS_POLITICALCONSULTANTFILINGS,tekz-xrvb,3569473,TRUE,C:/sterling/DOS_POLITICALCONSULTANTFILINGS_20210127_R.TSV,0,8820,0,0,2021-01-27T18:00:31.144242,2021-01-27T18:00:40.154653,8820,7112
DOS_ACTIVERESALESBROKERS,yg7h-zjbf,21735730,TRUE,C:/sterling/DOS_ACTIVERESALESBROKERS_20210127_R.tsv,0,165159,0,0,2021-01-27T18:00:32.265313,2021-01-27T18:00:45.135722,80000,1108
ITS_ACTIVITYLOGDATASET,h5bg-pd3x,193045,TRUE,C:/sterling/ITS_ACTIVITYLOGDATASET_20210127_A.csv,0,389,0,0,2021-01-28T00:30:30.505115,2021-01-28T00:30:40.678313,211941,2576
GAMING_WINNINGNUMCASH4LIFE,kwxv-fwze,65,TRUE,C:/sterling/GAMING_WINNINGNUMCASH4LIFE_20210127_A.CSV,0,1,0,0,2021-01-28T02:00:40.414341,2021-01-28T02:00:45.354104,1100,3760
GAMING_BREAKDOWN,q6ts-kwhk,1198490,TRUE,C:/sterling/GAMING_BREAKDOWN_20210128_R.csv,0,4310,0,0,2021-01-28T02:00:30.547709,2021-01-28T02:00:39.584711,4308,8028
GAMING_LICENSING,cz9u-yj7m,2278057,TRUE,C:/sterling/GAMING_LICENSING_20210128_R.csv,0,21094,0,0,2021-01-28T02:00:35.164004,2021-01-28T02:00:43.184531,21091,5348
GAMING_WINNINGNUMPOWERBALL,d6yy-54nr,69,TRUE,C:/sterling/GAMING_WINNINGNUMPOWERBALL_20210127_A.CSV,0,1,0,0,2021-01-28T02:00:42.355466,2021-01-28T02:00:52.332853,1144,5160
GAMING_RETAILERFILE,2vvn-pdyi,1335774,TRUE,C:/sterling/GAMING_RETAILERFILE_20210127_R.CSV,0,15688,0,0,2021-01-28T02:00:40.088320,2021-01-28T02:00:50.754864,15688,2256
GAMING_RULINGS,igam-2tkj,10676469,TRUE,C:/sterling/GAMING_RULINGS_20210128_R.csv,0,37385,0,0,2021-01-28T02:00:43.555543,2021-01-28T02:00:52.153980,0,7752
DTF_NYSREGISTEREDTAXPREPARERS,b7jj-bh4g,1899074,TRUE,C:/sterling/DTF_NYSREGISTEREDTAXPREPARERS_20210128_R.csv,0,28143,0,0,2021-01-28T02:44:41.262967,2021-01-28T02:44:46.336452,27919,2040
DMV_OFFICELOCATIONS,9upz-c7xg,34467,TRUE,C:/sterling/DMV_OFFICELOCATIONS_20210128_R.csv,0,165,0,0,2021-01-28T03:01:01.774169,2021-01-28T03:01:13.906120,165,4936
DMV_LENSCUSTOMERS,tt84-bydt,2770963,TRUE,C:/sterling/DMV_LENSCUSTOMERS_20210127_R.csv,0,14846,0,0,2021-01-28T03:00:51.534549,2021-01-28T03:01:02.016321,14840,88
DOS_AMC,7ttn-4nwr,23103,TRUE,C:/sterling/DOS_AMC_20210128_R.csv,0,158,0,0,2021-01-28T03:45:23.892963,2021-01-28T03:45:30.217853,156,6136
NYSERDA_UERCOUNTYMONTHLY,47km-hhvs,13276432,TRUE,C:/sterling/NYSERDA_UERCOUNTYMONTHLY_20210127_R.csv,0,109925,0,0,2021-01-28T04:01:34.924523,2021-01-28T04:01:44.197482,0,2808
NYSERDA_UERZIPMONTHLY,tzb9-c2c6,97023106,TRUE,C:/sterling/NYSERDA_UERZIPMONTHLY_20210127_R.csv,0,743398,0,0,2021-01-28T04:02:06.796350,2021-01-28T04:02:33.114559,676792,4964
NYSERDA_UERCOMMUNITYMONTHLY,m3xm-q3dw,228293932,TRUE,C:/sterling/NYSERDA_UERCOMMUNITYMONTHLY_20210127_R.csv,0,1493687,0,0,2021-01-28T04:01:40.533668,2021-01-28T04:02:16.104221,1400000,5816
DEC_CURRENTPESTICIDEBUSINESSES,h8u2-6ejg,1027855,TRUE,C:/sterling/DEC_CURRENTPESTICIDEBUSINESSES_20210128_R.csv,0,7554,0,0,2021-01-28T05:09:28.686399,2021-01-28T05:09:33.417748,7578,8136
DEC_PESTICIDEAPPLICATORS,c7db-kwpj,4314932,TRUE,C:/sterling/DEC_PESTICIDEAPPLICATORS_20210128_R.csv,0,31725,0,0,2021-01-28T05:09:27.854345,2021-01-28T05:09:33.242151,31724,6340
DEC_OILGASOTHERREGULATEDWELLS,szye-wmt3,23672307,TRUE,C:/sterling/DEC_OILGASOTHERREGULATEDWELLS_20210128_R.csv,0,46048,0,0,2021-01-28T05:09:29.772470,2021-01-28T05:09:43.822164,21133,6484
GAMING_WINNINGNUMPICK10,bycu-cw7c,97,TRUE,C:/sterling/GAMING_WINNINGNUMPICK10_20210127_A.CSV,0,1,0,0,2021-01-28T05:30:32.881330,2021-01-28T05:30:38.761333,12394,6284
GAMING_WINNINGNUMNUMSWIN4,hsys-3def,283,TRUE,C:/sterling/GAMING_WINNINGNUMNUMSWIN4_20210127_A.CSV,0,1,0,0,2021-01-28T05:30:34.753449,2021-01-28T05:30:39.866300,14657,4464
GAMING_WINNINGNUMTAKE5,dg63-4siq,61,TRUE,C:/sterling/GAMING_WINNINGNUMTAKE5_20210127_A.CSV,0,1,0,0,2021-01-28T05:30:38.137669,2021-01-28T05:30:41.776303,8684,3024
GAMING_WINNINGNUMLOTTO,6nbc-h7bj,75,TRUE,C:/sterling/GAMING_WINNINGNUMLOTTO_20210127_A.CSV,0,1,0,0,2021-01-28T05:30:38.137669,2021-01-28T05:30:42.090496,2021,5080
GAMING_WINNINGNUMQUICKDRAW,7sqk-ycpk,30942,TRUE,C:/sterling/GAMING_WINNINGNUMQUICKDRAW_20210127_A.CSV,0,351,0,0,2021-01-28T05:30:33.161349,2021-01-28T05:30:46.663607,1030303,428
DEC_MINEDLANDPERMITS,va8e-9s3h,1882338,TRUE,C:/sterling/DEC_MINEDLANDPERMITS_20210128_R.csv,0,6002,0,0,2021-01-28T06:40:15.046902,2021-01-28T06:40:21.994404,6002,5836
DEC_REMEDIATION,c6ci-rzpg,34290522,TRUE,C:/sterling/DEC_REMEDIATION_20210128_R.CSV,0,83059,0,0,2021-01-28T06:40:21.959345,2021-01-28T06:40:32.749952,40000,7364
DEC_BULKSTORAGE,pteg-c78n,87313642,TRUE,C:/sterling/DEC_BULKSTORAGE_20210128_R.CSV,0,275149,0,0,2021-01-28T06:40:21.134292,2021-01-28T06:40:42.108590,220264,3432
DEC_SPILLINCIDENTS,u44d-k5fk,108507588,TRUE,C:/sterling/DEC_SPILLINCIDENTS_20210128_R.CSV,0,511644,0,0,2021-01-28T06:40:06.231337,2021-01-28T06:40:28.619629,476035,5348
SLA_PENDINGLICENSES,t5r8-ymc5,288980,TRUE,C:/sterling/SLA_PENDINGLICENSES_20210128_R.csv,0,2048,0,0,2021-01-28T08:28:41.610767,2021-01-28T08:28:45.651177,2053,8116
SLA_ACTIVELICENSES,hrvs-fxs2,10672726,TRUE,C:/sterling/SLA_ACTIVELICENSES_20210128_R.csv,0,50135,0,0,2021-01-28T08:28:25.122720,2021-01-28T08:28:34.082267,0,708
DTF_BROWNFIELDREMEDCREDIT,635g-4qx7,3052,TRUE,C:/sterling/DTF_BROWNFIELDREMEDCREDIT_20210128_A.csv,0,17,0,0,2021-01-28T08:49:45.215207,2021-01-28T08:49:48.706810,180,3588
DTF_BROWNFIELDREDEVELCREDIT,vud8-75x8,124762,TRUE,C:/sterling/DTF_BROWNFIELDREDEVELCREDIT_20210128_R.csv,2,913,0,0,2021-01-28T08:52:12.425973,2021-01-28T08:52:16.539678,792,7696
NYSERDA_ENERGYSTORAGE,ugya-enpy,22578,TRUE,C:/sterling/NYSERDA_ENERGYSTORAGE_20210127_R.csv,0,82,0,0,2021-01-28T09:30:45.812500,2021-01-28T09:30:50.060241,82,8064
NYSERDA_EVREBATE,thd2-fu8y,3585549,TRUE,C:/sterling/NYSERDA_EVREBATE_20210128_R.csv,0,34378,0,0,2021-01-28T09:30:45.975512,2021-01-28T09:30:53.122951,34378,5188
DTF_BROWNFIELDREDEVELCREDIT,vud8-75x8,124760,TRUE,C:/sterling/DTF_BROWNFIELDREDEVELCREDIT_20210128_R.csv,2,913,0,0,2021-01-28T11:54:39.300773,2021-01-28T11:54:43.126581,913,564
DOS_REAPPRAISERS,3nr4-s9yt,715950,TRUE,C:/sterling/DOS_REAPPRAISERS_20210128_R.TSV,0,4130,0,0,2021-01-28T12:00:30.922528,2021-01-28T12:00:36.694026,4133,5676
DOS_POLITICALCONSULTANTFILINGS,tekz-xrvb,3569473,TRUE,C:/sterling/DOS_POLITICALCONSULTANTFILINGS_20210128_R.TSV,0,8820,0,0,2021-01-28T12:00:32.742648,2021-01-28T12:00:40.653929,8820,2628
DOS_ACTIVERESALESBROKERS,yg7h-zjbf,21745512,TRUE,C:/sterling/DOS_ACTIVERESALESBROKERS_20210128_R.tsv,0,165231,0,0,2021-01-28T12:00:33.035667,2021-01-28T12:00:44.334798,80000,8072
AGM_RETAILFOODSTOREINSPECTIONS,d6dy-3h7r,21268989,TRUE,C:/sterling/AGM_RETAILFOODSTOREINSPECTIONS_20210128_R.csv,0,87882,0,0,2021-01-28T12:01:49.438582,2021-01-28T12:01:58.346296,40000,4420
DTF_BROWNFIELDREDEVELCREDIT,vud8-75x8,124760,TRUE,C:/sterling/DTF_BROWNFIELDREDEVELCREDIT_20210129_R.csv,2,913,0,0,2021-01-28T12:08:56.411024,2021-01-28T12:09:01.260779,913,5964
DTF_BROWNFIELDREDEVELCREDIT,vud8-75x8,124487,TRUE,C:/sterling/DTF_BROWNFIELDREDEVELCREDIT_20210128_R.csv,0,913,0,0,2021-01-28T13:40:52.355274,2021-01-28T13:40:56.645261,913,6912
NYSERDA_ALTFUELSTATIONS,bpkx-gmh7,809837,TRUE,C:/sterling/NYSERDA_ALTFUELSTATIONS_20210128_R.csv,0,2486,0,0,2021-01-28T15:00:35.849332,2021-01-28T15:00:43.147948,2451,6824
NYCC_BOATLAUNCHES,7nbx-apd3,29161,TRUE,C:/sterling/NYCC_BOATLAUNCHES_20210128_R.csv,0,144,0,0,2021-01-28T16:00:28.696451,2021-01-28T16:00:34.119795,144,3128
NYCC_BOATSFORHIRE,ibtm-q4dj,15590,TRUE,C:/sterling/NYCC_BOATSFORHIRE_20210128_R.csv,0,70,0,0,2021-01-28T16:00:28.635436,2021-01-28T16:00:35.266162,70,5308
NYCC_LOCKS,ta83-js48,7410,TRUE,C:/sterling/NYCC_LOCKS_20210128_R.csv,0,56,0,0,2021-01-28T16:00:37.068976,2021-01-28T16:00:42.778443,56,8084
NYCC_LIFTBRIDGES,pe3j-9bkg,1577,TRUE,C:/sterling/NYCC_LIFTBRIDGES_20210128_R.csv,0,20,0,0,2021-01-28T16:00:45.362511,2021-01-28T16:00:51.689746,20,5936
NYCC_GUARDGATES,daiv-97a8,1735,TRUE,C:/sterling/NYCC_GUARDGATES_20210128_R.csv,0,20,0,0,2021-01-28T16:00:43.307377,2021-01-28T16:00:48.765711,20,620
NYCC_LODGING,2xud-cuua,22738,TRUE,C:/sterling/NYCC_LODGING_20210128_R.csv,0,121,0,0,2021-01-28T16:00:49.091751,2021-01-28T16:00:54.650444,121,3736
NYCC_MARINASPUBLICDOCKS,6y52-j6td,17056,TRUE,C:/sterling/NYCC_MARINASPUBLICDOCKS_20210128_R.csv,0,131,0,0,2021-01-28T16:00:50.917868,2021-01-28T16:00:55.252359,131,8116
DOS_REAPPRAISERS,3nr4-s9yt,715950,TRUE,C:/sterling/DOS_REAPPRAISERS_20210128_R.TSV,0,4130,0,0,2021-01-28T18:00:32.649087,2021-01-28T18:00:37.517387,4130,2004
DOS_POLITICALCONSULTANTFILINGS,tekz-xrvb,3569473,TRUE,C:/sterling/DOS_POLITICALCONSULTANTFILINGS_20210128_R.TSV,0,8820,0,0,2021-01-28T18:00:29.995918,2021-01-28T18:00:39.128517,8820,3076
DOS_ACTIVERESALESBROKERS,yg7h-zjbf,21745512,TRUE,C:/sterling/DOS_ACTIVERESALESBROKERS_20210128_R.tsv,0,165231,0,0,2021-01-28T18:00:32.964108,2021-01-28T18:00:50.391656,80000,4392
ITS_ACTIVITYLOGDATASET,h5bg-pd3x,198278,TRUE,C:/sterling/ITS_ACTIVITYLOGDATASET_20210128_A.csv,0,388,0,0,2021-01-29T00:30:36.485469,2021-01-29T00:30:47.380716,212330,7132
GAMING_WINNINGNUMCASH4LIFE,kwxv-fwze,65,TRUE,C:/sterling/GAMING_WINNINGNUMCASH4LIFE_20210128_A.CSV,0,1,0,0,2021-01-29T02:00:38.286237,2021-01-29T02:00:44.281624,1101,2460
GAMING_BREAKDOWN,q6ts-kwhk,1198490,TRUE,C:/sterling/GAMING_BREAKDOWN_20210129_R.csv,0,4310,0,0,2021-01-29T02:00:28.857599,2021-01-29T02:00:37.567444,4310,4572
GAMING_RETAILERFILE,2vvn-pdyi,1335927,TRUE,C:/sterling/GAMING_RETAILERFILE_20210128_R.CSV,0,15690,0,0,2021-01-29T02:00:28.520569,2021-01-29T02:00:36.841648,15688,5576
GAMING_LICENSING,cz9u-yj7m,2277854,TRUE,C:/sterling/GAMING_LICENSING_20210129_R.csv,0,21092,0,0,2021-01-29T02:00:28.043538,2021-01-29T02:00:41.496944,21094,2912
GAMING_RULINGS,igam-2tkj,10676469,TRUE,C:/sterling/GAMING_RULINGS_20210129_R.csv,0,37385,0,0,2021-01-29T02:00:35.966046,2021-01-29T02:00:47.272991,0,4872
DTF_NYSREGISTEREDTAXPREPARERS,b7jj-bh4g,1912027,TRUE,C:/sterling/DTF_NYSREGISTEREDTAXPREPARERS_20210129_R.csv,0,28340,0,0,2021-01-29T02:33:26.047572,2021-01-29T02:33:31.174123,28143,8180
DMV_OFFICELOCATIONS,9upz-c7xg,34467,TRUE,C:/sterling/DMV_OFFICELOCATIONS_20210129_R.csv,0,165,0,0,2021-01-29T03:01:36.911318,2021-01-29T03:01:46.385157,165,7188
DMV_LENSCUSTOMERS,tt84-bydt,2771162,TRUE,C:/sterling/DMV_LENSCUSTOMERS_20210128_R.csv,0,14847,0,0,2021-01-29T03:01:38.132397,2021-01-29T03:01:44.570673,14846,1112
DOS_AMC,7ttn-4nwr,23103,TRUE,C:/sterling/DOS_AMC_20210129_R.csv,0,158,0,0,2021-01-29T03:45:27.637994,2021-01-29T03:45:32.027965,158,8108
